concept_id,registry_frozen_on,registry_sha256,slug,name_en,name_zh,category_group,taxonomy_category,sampling_role,wave,market,include_queries,exclude_queries,target_visual_assets,target_query_anchors,target_timestamp_sources,target_history_weeks,target_prospective_snapshot_weeks,collection_status,transfer_label
BT-C001,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,blind_box_collectible_figure,Blind-box collectible figure,盲盒潮玩手办,collectibles_hobbies,collectible_figure,mature_anchor,1,US,blind box collectible | blind box figure | designer toy blind box,subscription box | cardboard gift box,5,2,2,104,12,not_started,unassigned
BT-C001,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,blind_box_collectible_figure,Blind-box collectible figure,盲盒潮玩手办,collectibles_hobbies,collectible_figure,mature_anchor,1,CN,盲盒手办 | 潮玩盲盒 | 盲盒公仔,订阅盒 | 礼品包装盒,5,2,2,104,12,not_started,unassigned
BT-C002,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,plush_bag_charm,Plush bag charm,毛绒包挂,collectibles_hobbies,plush_toy,emerging_candidate,1,US,plush bag charm | plush purse charm | stuffed animal bag charm,full size plush toy | pom pom only,5,2,2,104,12,not_started,unassigned
BT-C002,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,plush_bag_charm,Plush bag charm,毛绒包挂,collectibles_hobbies,plush_toy,emerging_candidate,1,CN,毛绒包挂 | 毛绒挂件 | 玩偶包挂,大型毛绒玩具 | 纯毛球挂件,5,2,2,104,12,not_started,unassigned
BT-C003,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,trading_card_display_case,Trading-card display case,集换式卡牌展示盒,collectibles_hobbies,collectible_figure,stable_control,2,US,trading card display case | graded card display | card slab holder,card storage box | greeting card frame,5,2,2,104,12,not_started,unassigned
BT-C003,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,trading_card_display_case,Trading-card display case,集换式卡牌展示盒,collectibles_hobbies,collectible_figure,stable_control,2,CN,卡牌展示盒 | 评级卡展示架 | 卡砖展示架,卡牌收纳盒 | 贺卡相框,5,2,2,104,12,not_started,unassigned
BT-C004,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,capsule_toy_figure,Capsule-toy figure,扭蛋公仔,collectibles_hobbies,collectible_figure,ambiguity_probe,4,US,capsule toy figure | gashapon figure | vending capsule toy,blind box figure | medicine capsule,5,2,2,104,12,not_started,unassigned
BT-C004,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,capsule_toy_figure,Capsule-toy figure,扭蛋公仔,collectibles_hobbies,collectible_figure,ambiguity_probe,4,CN,扭蛋公仔 | 扭蛋玩具 | 扭蛋机玩具,盲盒手办 | 药用胶囊,5,2,2,104,12,not_started,unassigned
BT-C005,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,collectible_advent_calendar,Collectible advent calendar,收藏玩具圣诞倒数日历,collectibles_hobbies,collectible_figure,seasonal_control,3,US,collectible advent calendar | toy advent calendar | figure advent calendar,chocolate advent calendar | paper calendar,5,2,2,104,12,not_started,unassigned
BT-C005,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,collectible_advent_calendar,Collectible advent calendar,收藏玩具圣诞倒数日历,collectibles_hobbies,collectible_figure,seasonal_control,3,CN,玩具圣诞倒数日历 | 手办降临历 | 公仔圣诞日历,巧克力倒数日历 | 纸质日历,5,2,2,104,12,not_started,unassigned
BT-C006,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,magnetic_phone_grip_stand,Magnetic phone grip stand,磁吸手机支架握把,personal_tech,phone_accessory,mature_anchor,1,US,magnetic phone grip stand | magsafe grip stand | magnetic phone ring grip,car phone mount | magnetic battery pack,5,2,2,104,12,not_started,unassigned
BT-C006,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,magnetic_phone_grip_stand,Magnetic phone grip stand,磁吸手机支架握把,personal_tech,phone_accessory,mature_anchor,1,CN,磁吸手机支架 | 磁吸手机握把 | 磁吸指环支架,车载手机支架 | 磁吸充电宝,5,2,2,104,12,not_started,unassigned
BT-C007,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,clip_on_open_ear_earbuds,Clip-on open-ear earbuds,耳夹式开放耳机,personal_tech,headphones,emerging_candidate,1,US,clip on open ear earbuds | ear clip headphones | open ear clip earbuds,ear cuff jewelry | bone conduction headband,5,2,2,104,12,not_started,unassigned
